Symbol,name,Name,Sector,industry,Summary Quote
ECHO,"echo global logistics, inc.","Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
SATS,echostar corporation,EchoStar Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EEI,"ecology and environment, inc.","Ecology and Environment, Inc.",Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
ESES,"eco-stim energy solutions, inc.","Eco-Stim Energy Solutions, Inc.",Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EDAP,edap tms s.a.,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
EDGE,"edge therapeutics, inc.","Edge Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge
EDGW,"edgewater technology, inc.","Edgewater Technology, Inc.",Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EDIT,"editas medicine, inc.","Editas Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit
EDUC,educational development corporation,Educational Development Corporation,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
EGAN,egain corporation,eGain Corporation,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EGLT,egalet corporation,Egalet Corporation,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
EHTH,"ehealth, inc.","eHealth, Inc.",Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
EIGR,"eiger biopharmaceuticals, inc.","Eiger BioPharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr
EKSO,"ekso bionics holdings, inc.","Ekso Bionics Holdings, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ekso
LOCO,"el pollo loco holdings, inc.","El Pollo Loco Holdings, Inc.",Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco
EMITF,elbit imaging ltd.,Elbit Imaging Ltd.,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf
ESLT,elbit systems ltd.,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt
ERI,"eldorado resorts, inc.","Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ESIO,"electro scientific industries, inc.","Electro Scientific Industries, Inc.",Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,electronic arts inc.,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,"electronics for imaging, inc.","Electronics for Imaging, Inc.",Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,"electro-sensors, inc.","Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELEC,electrum special acquisition corporation,Electrum Special Acquisition Corporation,Finance,Business Services,http://www.nasdaq.com/symbol/elec
ELECU,electrum special acquisition corporation,Electrum Special Acquisition Corporation,Finance,Business Services,http://www.nasdaq.com/symbol/elecu
ELECW,electrum special acquisition corporation,Electrum Special Acquisition Corporation,Finance,Business Services,http://www.nasdaq.com/symbol/elecw
EBIO,"eleven biotherapeutics, inc.","Eleven Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
DWAC,elkhorn commodity rotation strategy etf,Elkhorn Commodity Rotation Strategy ETF,n/a,n/a,http://www.nasdaq.com/symbol/dwac
ESBK,elmira savings bank ny (the),Elmira Savings Bank NY (The),Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
ELTK,eltek ltd.,Eltek Ltd.,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,emc insurance group inc.,EMC Insurance Group Inc.,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,emclaire financial corp,Emclaire Financial Corp,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,emcore corporation,EMCORE Corporation,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EMMS,emmis communications corporation,Emmis Communications Corporation,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
NYNY,"empire resorts, inc.","Empire Resorts, Inc.",Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ERS,"empire resources, inc.","Empire Resources, Inc.",Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ers
ENTA,"enanta pharmaceuticals, inc.","Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,encore capital group inc,Encore Capital Group Inc,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,encore wire corporation,Encore Wire Corporation,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,endo international plc,Endo International plc,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,"endocyte, inc.","Endocyte, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,"endologix, inc.","Endologix, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
NDRA,endra life sciences inc.,ENDRA Life Sciences Inc.,n/a,n/a,http://www.nasdaq.com/symbol/ndra
EIGI,"endurance international group holdings, inc.","Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,energous corporation,Energous Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,"energy focus, inc.","Energy Focus, Inc.",Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
EHR,"energy hunter resources, inc.","Energy Hunter Resources, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/ehr
ERII,"energy recovery, inc.","Energy Recovery, Inc.",Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
EXXI,"energy xxi gulf coast, inc.","Energy XXI Gulf Coast, Inc.",Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ENOC,"enernoc, inc.","EnerNOC, Inc.",Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc
ENG,englobal corporation,ENGlobal Corporation,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,"enphase energy, inc.","Enphase Energy, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,enstar group limited,Enstar Group Limited,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,entegra financial corp.,Entegra Financial Corp.,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,"entegris, inc.","Entegris, Inc.",Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,"entellus medical, inc.","Entellus Medical, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
ETRM,enteromedics inc.,EnteroMedics Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
EBTC,enterprise bancorp inc,Enterprise Bancorp Inc,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,enterprise financial services corporation,Enterprise Financial Services Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
EGT,entertainment gaming asia incorporated,Entertainment Gaming Asia Incorporated,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt
ENZY          ,enzymotec ltd.,Enzymotec Ltd.,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy
EPZM,"epizyme, inc.","Epizyme, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,eplus inc.,ePlus inc.,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,"equinix, inc.","Equinix, Inc.",Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
EQFN,equitable financial corp.,Equitable Financial Corp.,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EQBK,"equity bancshares, inc.","Equity Bancshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk
ERIC,ericsson,Ericsson,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,erie indemnity company,Erie Indemnity Company,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ESCA,"escalade, incorporated","Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESPR,"esperion therapeutics, inc.","Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESSA,"essa bancorp, inc.","ESSA Bancorp, Inc.",Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,essa pharma inc.,ESSA Pharma Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,essendant inc.,Essendant Inc.,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ESSF,"etre reit, llc","ETRE REIT, LLC",n/a,n/a,http://www.nasdaq.com/symbol/essf
ETSY,"etsy, inc.","Etsy, Inc.",Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,euro tech holdings company limited,Euro Tech Holdings Company Limited,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,"euronet worldwide, inc.","Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,euroseas ltd.,Euroseas Ltd.,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,"ev energy partners, l.p.","EV Energy Partners, L.P.",Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVBG,"everbridge, inc.","Everbridge, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/evbg
EVK,"ever-glory international group, inc.","Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
MRAM,"everspin technologies, inc.","Everspin Technologies, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVLV,evine live inc.,EVINE Live Inc.,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVGN,evogene ltd.,Evogene Ltd.,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/evgn
EVOK,"evoke pharma, inc.","Evoke Pharma, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,"evolving systems, inc.","Evolving Systems, Inc.",Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,exa corporation,Exa Corporation,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,exact sciences corporation,Exact Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,"exactech, inc.","Exactech, Inc.",Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
EXEL,"exelixis, inc.","Exelixis, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,exfo inc,EXFO Inc,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,"exlservice holdings, inc.","ExlService Holdings, Inc.",Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,"expedia, inc.","Expedia, Inc.",Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,"expeditors international of washington, inc.","Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,"exponent, inc.","Exponent, Inc.",Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,express scripts holding company,Express Scripts Holding Company,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
XOG,"extraction oil & gas, inc.","Extraction Oil & Gas, Inc.",Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
EXTR,"extreme networks, inc.","Extreme Networks, Inc.",Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
EYEG,"eyegate pharmaceuticals, inc.","Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg
EYEGW,"eyegate pharmaceuticals, inc.","Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyegw
EZPW,"ezcorp, inc.","EZCORP, Inc.",Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
FFIV,"f5 networks, inc.","F5 Networks, Inc.",Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,"facebook, inc.","Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
FRP,"fairpoint communications, inc.","FairPoint Communications, Inc.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
FALC,"falconstor software, inc.","FalconStor Software, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc
DAVE,"famous dave&#39;s of america, inc.","Famous Dave&#39;s of America, Inc.",Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave
FANH,fanhua inc.,Fanhua Inc.,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fanh
FARM,farmer brothers company,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm
FFKT,farmers capital bank corporation,Farmers Capital Bank Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt
FMNB,farmers national banc corp.,Farmers National Banc Corp.,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb
FARO,"faro technologies, inc.","FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
FAST,fastenal company,Fastenal Company,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
FATE,"fate therapeutics, inc.","Fate Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate
FBSS,"fauquier bankshares, inc.","Fauquier Bankshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fbss
FBRC,fbr & co,FBR & Co,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc
FNHC,federated national holding company,Federated National Holding Company,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc
FHCO,female health company (the),Female Health Company (The),Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco
FENX,"fenix parts, inc.","Fenix Parts, Inc.",Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/fenx
GSM,ferroglobe plc,Ferroglobe PLC,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm
FCSC,fibrocell science inc,Fibrocell Science Inc,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc
FGEN,"fibrogen, inc","FibroGen, Inc",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen
ONEQ,fidelity nasdaq composite index tracking stock,Fidelity Nasdaq Composite Index Tracking Stock,n/a,n/a,http://www.nasdaq.com/symbol/oneq
LION,fidelity southern corporation,Fidelity Southern Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/lion
FDUS,fidus investment corporation,Fidus Investment Corporation,n/a,n/a,http://www.nasdaq.com/symbol/fdus
FRGI,"fiesta restaurant group, inc.","Fiesta Restaurant Group, Inc.",Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi
FSAM,fifth street asset management inc.,Fifth Street Asset Management Inc.,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam
FSC,fifth street finance corp.,Fifth Street Finance Corp.,n/a,n/a,http://www.nasdaq.com/symbol/fsc
FSCFL,fifth street finance corp.,Fifth Street Finance Corp.,n/a,n/a,http://www.nasdaq.com/symbol/fscfl
FSFR,fifth street senior floating rate corp.,Fifth Street Senior Floating Rate Corp.,n/a,n/a,http://www.nasdaq.com/symbol/fsfr
FITB,fifth third bancorp,Fifth Third Bancorp,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
FITBI,fifth third bancorp,Fifth Third Bancorp,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi
FNGN,"financial engines, inc.","Financial Engines, Inc.",Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
FISI,"financial institutions, inc.","Financial Institutions, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fisi
FNSR,finisar corporation,Finisar Corporation,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr
FNJN,"finjan holdings, inc.","Finjan Holdings, Inc.",Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn
FNTE,fintech acquisition corp. ii,FinTech Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/fnte
FNTEU,fintech acquisition corp. ii,FinTech Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/fnteu
FNTEW,fintech acquisition corp. ii,FinTech Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/fntew
FEYE,"fireeye, inc.","FireEye, Inc.",Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye
FBNC,first bancorp,First Bancorp,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc
FNLC,"first bancorp, inc (me)","First Bancorp, Inc (ME)",Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc
FRBA,first bank,First Bank,n/a,n/a,http://www.nasdaq.com/symbol/frba
BUSE,first busey corporation,First Busey Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
FBIZ,"first business financial services, inc.","First Business Financial Services, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz
FCAP,"first capital, inc.","First Capital, Inc.",Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap
FCFS,"first cash, inc.","First Cash, Inc.",Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs
FCNCA,"first citizens bancshares, inc.","First Citizens BancShares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca
FCBC,"first community bancshares, inc.","First Community Bancshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc
FCCO,first community corporation,First Community Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco
FCFP,"first community financial partners, inc.","First Community Financial Partners, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/fcfp
FBNK,"first connecticut bancorp, inc.","First Connecticut Bancorp, Inc.",Finance,Banks,http://www.nasdaq.com/symbol/fbnk
FDEF,first defiance financial corp.,First Defiance Financial Corp.,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef
FFBC,first financial bancorp.,First Financial Bancorp.,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
FFBCW,first financial bancorp.,First Financial Bancorp.,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbcw
FFIN,"first financial bankshares, inc.","First Financial Bankshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
THFF,first financial corporation indiana,First Financial Corporation Indiana,Finance,Major Banks,http://www.nasdaq.com/symbol/thff
